ID_VGame;VideoGame;Year;Genre;Copy.Publisher 2;Rating;Publisher;Developer;;;;;
113572;TerraTech;2018;indefined;;RP;Payload Studios;Payload Studios;;;;;
113575;Hard Rock Zombie Truck Plastiline;2018;indefined;;RP;Dagestan Technology;Rumata Lab;;;;;
113578;Puyo PuyoTetris;2018;indefined;;RP;SEGA;Sonic Team, Bitbaboon;;;;;
113581;???? Soul at Stake;2018;indefined;;RP;Chongming Studio;Chongming Studio;;;;;
113584;Sword With Sauce;2018;indefined;;RP;Diatomic Games;Diatomic Games;;;;;
113587;Freeman: Guerrilla Warfare;2018;indefined;;RP;KK Game Studio;KK Game Studio;;;;;
113590;Age of Civilizations II;2018;indefined;;RP;?ukasz Jakowski Games;?ukasz Jakowski;;;;;
113593;AXYOS;2018;indefined;;RP;Axyos Games;Axyos Games;;;;;
113596;Life is Strange 2;2018;indefined;;RP;Square Enix;DONTNOD Entertainment;;;;;
113599;Hentai Girl;2018;indefined;;RP;GirlGame;GirlGame;;;;;
113602;Next Day: Survival;2018;indefined;;RP;Last Level;SOFF Games;;;;;
113605;Lost Moon;2018;indefined;;RP;Thorngames;Thorngames;;;;;
113608;Dragon Cliff;2018;indefined;;RP;Meta Interaction;Meta Interaction;;;;;
113611;X4: Foundations;2018;indefined;;RP;Egosoft;Egosoft;;;;;
111196;Salt;2018;indefined;;RP;Lavaboots Studios;Lavaboots Studios;;;;;
111199;Fallen ~Makina and the City of Ruins~;2018;indefined;;RP;Kagura Games;Another Story;;;;;
111598;Juicy Realm;2018;indefined;;RP;X.D. Network Inc.;SpaceCan;;;;;
111202;The Universim;2018;indefined;;RP;Crytivo;Crytivo;;;;;
111205;Just Shapes & Beats;2018;indefined;;RP;Berzerk Studio;Berzerk Studio;;;;;
111208;BallisticNG;2018;indefined;;RP;Neognosis;Neognosis;;;;;
111211;????? Love Simulation;2018;indefined;;RP;PeriScope Game;???, ???;;;;;
111214;Cyberdimension Neptunia: 4 Goddesses Online | ???????? CYBER DIMENSION NEPTUNE | ???ONLINE ?????????;2018;indefined;;RP;Idea Factory International;Idea Factory, Compile Heart, Tamsoft;;;;;
111217;Zup! 8;2018;indefined;;RP;Quiet River;Quiet River;;;;;
111892;RUSSIA BATTLEGROUNDS;2018;indefined;;RP;Agafonoff;Agafonoff;;;;;
112201;Voxel Warfare Online;2018;indefined;;RP;Firehawk Studios;Firehawk Studios;;;;;
111220;The Vagrant;2018;indefined;;RP;SakuraGame;O.T.K Games;;;;;
111601;eSports Legend / ????;2018;indefined;;RP;Coconut Island Games;90Games;;;;;
111223;Airships: Conquer the Skies;2018;indefined;;RP;David Stark;David Stark;;;;;
111226;SAO Utils: Beta;2018;indefined;;RP;Studio GPBeta;Joshua Chen;;;;;
111229;Do Not Feed the Monkeys;2018;indefined;;RP;Alawar Premium;Fictiorama Studios, BadLand Games Publishing S.L.;;;;;
111895;Purgatory II;2018;indefined;;RP;New Reality Games;New Reality Games, Eduard Mirica;;;;;
111232;YUMENIKKI -DREAM DIARY-;2018;indefined;;RP;AGM PLAYISM;KADOKAWA CORPORATION, Active Gaming Media Inc.;;;;;
111898;DOKA 2 KISHKI EDITION;2018;indefined;;RP;Agafonoff;Agafonoff;;;;;
111235;Delver;2018;indefined;;RP;Tulaboev Ikhvolbek;Priority Interrupt;;;;;
111238;Dragon Knight;2018;indefined;;RP;Paradise Project;D.K Studio;;;;;
111241;Green Hell;2018;indefined;;RP;Creepy Jar;Creepy Jar;;;;;
111244;Blade and Sorcery;2018;indefined;;RP;WarpFrog;WarpFrog;;;;;
111247;Chicken Labyrinth Puzzles;2018;indefined;;RP;ZemunBRE;ZemunBRE;;;;;
111250;ASSASSINATION BOX;2018;indefined;;RP;VitaliZelenyuk;VitaliZelenyuk;;;;;
111253;Eco;2018;indefined;;RP;Strange Loop Games;Strange Loop Games;;;;;
111256;Kingdom Rush Origins;2018;indefined;;RP;Ironhide Game Studio;Ironhide Game Studio;;;;;
